Coffee origin,Food,Flavor type
Kenya,Most Berries,fruity
Ethiopia,Most Berries,fruity
Uganda,Most Berries,fruity
Yemen,Bueberries,fruity
Jamaica,Bueberries,fruity
Tanzania,"Peaches, Plums,Apricots",fruity
Haiti,"Peaches, Plums,Apricots",fruity
Brazil,Fruit Tart,fruity
Costa Rica,Fruit Tart,fruity
Brazil,chocolate,chocolate
Columbia,chocolate,chocolate
El Salvador,chocolate,chocolate
Guatemala,chocolate,chocolate
Kona,chocolate,chocolate
Mexico,chocolate,chocolate
Brazil,dark  chocolate,chocolate
Columbia,milk chocolate,chocolate
Kenya,milk chocolate,chocolate
Sumatra,milk chocolate,chocolate
Yemen,milk chocolate,chocolate
Ethiopia,milk chocolate,chocolate
Kona,milk chocolate,chocolate
Columbia,white chocolate,chocolate
Costa Rica,white chocolate,chocolate
Guatemala,chocolate cakes,chocolate
Yemen,white chocolate,chocolate
Arabica,chocolate mousse,chocolate
Guatemala,wheat bread,neutral
Brazil,wheat bread,neutral
Costa Rica,wheat bread,neutral
Peru,wheat bread,neutral
Columbia,wheat bread,neutral
Columbia,sweet bread,sweet
Costa Rica,sweet bread,sweet
Kenya,sweet bread,sweet
Kona,sweet bread,sweet
Yemen,fruit scones,fruity
kenya,fruit scones,fruity
Haiti,fruit scones,fruity
Nicaragua,spicy food,spicy
Costa Rica,spicy food,spicy
Honduras,spicy food,spicy
Indonesia,caramel-based cakes,sweet
Guatemala,caramel-based cakes,sweet
Sumatra,"cheese,butter,cream",dairy
Java,"cheese,butter,cream",dairy
India,"cheese,butter,cream",dairy
Kona,"cheese,butter,cream",dairy
Papua New Guinea,"cheese,butter,cream",dairy
Sumatra,meat,meat
Papua New Guinea,meat,meat
India,meat,meat
Pacific Island,Savory Crepes,savory
Kenya,doughuts,sweet
Ethiopia,doughuts,sweet
Uganda,doughuts,sweet
Yemen,doughuts,sweet
Jamaica,doughuts,sweet
Tanzania,doughuts,sweet
Haiti,doughuts,sweet
Brazil,doughuts,sweet
Costa Rica,doughuts,sweet
Columbia,doughuts,sweet
El Salvador,doughuts,sweet
Guatemala,doughuts,sweet
Arabica,doughuts,sweet
Peru,doughuts,sweet
Kona,doughuts,sweet
Nicaragua,doughuts,sweet
Honduras,doughuts,sweet
Pacific Island,doughuts,sweet
India,doughuts,sweet
Papua New Guinea,doughuts,sweet
Sumatra,doughuts,sweet
Java,doughuts,sweet
Indonesia,doughuts,sweet
Columbia,chocolate crepes,chocolate
Kenya,fruity crepes,fruity
Haiti,fruity crepes,fruity
Costa Rica,American-Style Savory Breakfast,savory
Java,Omelets,savory
Sumatra,Omelets,savory
Indonesia,Omelets,savory
